Taxon,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
Crocodylus porosus,HK,BE,PG,,1,leather products (small),,,
Crocodylus porosus,HK,BE,XV,,1,leather products (small),,,
Crocodylus porosus,HK,BE,XX,,1,leather products (small),,,
Crocodylus porosus,HK,CH,AU,6,,leather products (small),,T,C
Crocodylus porosus,HK,CH,AU,11,,leather products (small),,T,R
Crocodylus porosus,HK,CH,PG,1,,leather products (large),,T,W
Crocodylus porosus,HK,CL,AU,,1,leather products (small),,T,R
Crocodylus porosus,HK,ES,AU,,1,leather products (small),,T,C
Crocodylus porosus,HK,ES,AU,,1,leather products (small),,T,R
Crocodylus porosus,HK,ES,AU,,1,leather products (small),,,
Crocodylus porosus,HK,ES,ID,1,,leather products (small),,T,W
Crocodylus porosus,HK,ES,ID,,1,leather products (small),,,
Crocodylus porosus,HK,FR,AU,1,,garments,,T,C
Crocodylus porosus,HK,FR,AU,2,1.5,garments,,T,R
